row_id,epic,test_case,surface_path
158,catalog,The identical edit mechanism works on a 2nd + 3rd blueprint — no per-blueprint UI (Alloy + Postgres + a third) — acceptance headline 7.,products/catalyst/bootstrap/ui/src/pages/sovereign/CatalogDetail.tsx
159,cutover,"Settings → Sovereignty section renders a ""Cluster sovereignty"" panel with a ""TETHERED"" badge + an ""Achieve True Sovereignty"" cutover CTA (runs the 8-step cutover + 10-min egress-block self-test).",products/catalyst/bootstrap/ui/src/pages/sovereign
160,cutover,"Console nav + Settings sidebar expose a dedicated ""Sovereignty"" anchor (`#sovereignty`) that scrolls to + highlights the Cluster-sovereignty panel — the cutover trigger is a first-class surface.",products/catalyst/bootstrap/ui/src/pages/sovereign
161,cutover,"Open `/jobs` (zero-login, signed in as owner) → the canvas table renders a populated activity list (not a spinner, empty state, or login redirect).",products/catalyst/bootstrap/ui/src/pages/sovereign
162,cutover,"Find the `cutover` group row and expand it → it renders the 11 `cutover-step-*` rows (gitea-mirror, harbor-projects, harbor-prewarm, registry-pivot, … vcluster-registry-p… — the 11-step execution tree.",platform/self-sovereign-cutover/chart
163,cutover,"Each `cutover-step-*` row reads an honest per-step status (Succeeded / Running / Failed / Pending), never a premature green.",platform/self-sovereign-cutover/chart
164,cutover,"The cutover group status reflects its real children (a group with a failed child reads failed, not a fake Succeeded).",platform/self-sovereign-cutover/chart
167,jobs,"Open the console root in a fresh tab → land on the operator dashboard signed in as the sovereign-admin (no login form, no password field).",products/catalyst/bootstrap/ui/src/pages/sovereign/Dashboard.tsx + live:catalyst-api session
168,jobs,"Open `/jobs` → the canvas table renders a populated list of activity rows (not a spinner, empty state, or login redirect).",products/catalyst/bootstrap/ui/src/pages/sovereign/JobsPage.tsx
169,jobs,The Kind column is present in the header and each row shows its kind; full header = Name·Kind·App·Deps·…,products/catalyst/bootstrap/ui/src/pages/sovereign/JobsTable.tsx
170,jobs,Scroll/search to the `install-openbao` row → it renders green / Succeeded (the install is honestly green).,products/catalyst/bootstrap/ui/src/pages/sovereign/JobsTable.tsx
171,jobs,"Every rendered row maps to a real HelmRelease install / terraform stage (no placeholder, no synthetic/fabricated entry).",products/catalyst/bootstrap/ui/src/pages/sovereign/jobsAdapter.ts
172,jobs,"Set the Status filter to `failed` → the table shows the genuinely-failing rows, each with an honest failed status (the Status filter works).",products/catalyst/bootstrap/ui/src/pages/sovereign/JobsPage.tsx
173,jobs,Leave the table on screen ~30s → rows update live (tail) as reconciliation progresses; a status badge changes in place without a manual reload.,re-walk /jobs in a browser for ~90s on hw292
174,jobs,"On a Failed row (Status=failed), a Re-run / Retry-reconcile button is present on the row (visible on the row or on hover).",products/catalyst/bootstrap/ui/src/pages/sovereign/JobsTable.tsx
175,jobs,"On a Succeeded / healthy / Confirming row, NO Re-run button renders — the control is gated to Failed rows only.",products/catalyst/bootstrap/ui/src/pages/sovereign/JobsTable.tsx
176,jobs,"Click Re-run on a Failed row → a success toast/feedback appears and the button flips in place (e.g. `Requesting…`) — the browser triggered a re-reconcile, no terminal.",one authenticated click on the jobs-retry control for the failed syft-sbom row on hw292
177,jobs,"Use the same Re-run button on a Failed row — one remediation mechanism across rows, no per-kind UI (the single-table/single… shape).",POST the retry for task-syft-sbom and re-read runCount/latestExecutionId
178,meta,"The signed handover URL → lands directly on `/dashboard` signed-in (env switcher shows the live env, avatar E, no login form).",roll catalyst-api to an image built from a commit >= 3eed58270
179,meta,"Click the avatar (top-right) → menu reads ""Signed in as the owner"" with a Sign-out item — confirms the landed identity is the owner-admin.",products/catalyst/bootstrap/ui/src/pages/sovereign
180,meta,"Grafana bare URL → lands on Grafana Home (""Welcome to Grafana"", full UI, Profile avatar), `?orgId=1`, no login form (SSO landed signed-in).",live:grafana-oidc-sso
181,meta,"Harbor (registry) bare URL → lands on `/harbor/projects` (projects, repos, Administration nav), no login form; user dropdown the owner.",live:harbor-oidc-sso
182,meta,"Gitea bare URL → lands on the gitea dashboard titled ""emrah.baysal - Dashboard - Catalyst Gitea"", logged in; URL stays on :443.",live:gitea-oidc-sso
183,meta,"OpenBao bare UI → final rendered screen is the authenticated Vault session (`/ui/vault/secrets`, Secrets Engines with cubbyhole/ + secret/ kv), NO `/ui/vault/auth` token form.",bump bp-openbao HR to >= 1.2.66 (itself held behind the bp-cilium ghcr-pull failure)
187,topology,Per-app Topology for a multi-region app (grafana) shows **Pattern: active-active** with 2 PRIMARY region cards — NOT singleton.,products/catalyst/bootstrap/ui/src/pages/sovereign/AppDetail/TopologyTab.tsx
188,topology,A genuine single-region app (catalyst-api) correctly shows **singleton** (no false multi-region).,roll catalyst-api to an image containing be000b90a/472409679
189,topology,Region-b kubeconfig self-heals EIP→private-IP **zero-touch** on restart (topology survives a fresh prov).,core/services/provisioning/handlers/kubeconfig_reconciler.go + live:secret/catalyst/cutover-secondary-kubeconfigs
192,recon,"The convergence **Reconciliation** link opens the cloud **RECON lens** (`view=graph&lens=reconciliation`), not the default cloud lens.",owner decision — drop the wizard-link clause or delete the orphaned component
193,recon,Clicking a reconciler opens the **ArgoCD-like management surface** (drill-in).,products/catalyst/bootstrap/ui/src/pages/sovereign
194,recon,Recon surface lists Flux reconcilers with live status (Reconciled/Reconciling/Degraded/Suspended).,products/catalyst/bootstrap/ui/src/pages/sovereign
195,recon,Drill a reconciler → its controller **logs** render.,products/catalyst/bootstrap/ui/src/pages/sovereign
196,recon,**Reconcile** action → `reconcile.fluxcd.io/requestedAt` lands on the live object.,products/catalyst/bootstrap/api/internal/handler
197,recon,**Suspend/Resume** → `spec.suspend` flips on the live object.,products/catalyst/bootstrap/api/internal/handler
198,cloud,"`/cloud` per-kind **helmreleases** page shows the real count (~65), not 0.",products/catalyst/bootstrap/ui/src/pages/sovereign/cloud-list/K8sListPage.tsx
204,cloud,"Cloud **Worker Nodes** page shows the real nodes, not 0.",products/catalyst/bootstrap/ui/src/pages/sovereign/cloud-compute/WorkerNodesPage.tsx
205,fleet,"`/fleet/applications` returns the real app count (non-zero), not 0.",products/catalyst/bootstrap/api/internal/handler/applications.go
209,storage,PVCs land on a real **CSI storageclass** (not k3s local-path).,live:storageclass/evs-ssd
210,storage,`local-path` is **FORBIDDEN** (k3s `--disable=local-storage`).,live:storageclass
211,mcp,MCP **sovereign-admin** token → `list_applications` returns all apps.,products/openova-mcp/internal/tools
212,mcp,MCP **Org-scoped** token → `list_applications` returns ONLY that Org's apps (RBAC parity).,emit a per-Org bp-openova-mcp instance from the per-Org GitOps renderer (#5843) or adjudicate D32/D33 supersession
213,mcp,MCP cross-Org `get_application` → **403** (UI-parity).,emit a per-Org bp-openova-mcp instance (#5843) then re-walk cross-Org get_application
214,orgs,No `SME`/`tenant` banned-term leak in the console bundle (org-rename complete).,products/catalyst/bootstrap/ui
215,orgs,"CRD `tier` enum is `[org, corporate]` — a `tier: org` Organization is accepted.",products/catalyst/chart/crds/organization.yaml
216,e2e-journey,A user with a **coupon/voucher code** redeems it → creates **his Organization**. Surface: `https://marketplace.<fqdn>/redeem/?code=<CODE>` (no session) → plan/region → Launch. PASS = the provisioning timeline runs to Done AND `/organizations` shows the Org **ACTIVE** backed by live `vcluster` pods (not a fake-green status).,mint one voucher via the BSS menu then walk /redeem/?code=<CODE> to Launch
217,e2e-journey,"The user logs in via the **passwordless SSO magic-email PIN** (any domain, e.g. `demo@openova.io`) → 6-digit PIN emailed → lands signed-in, no password. PASS = the PIN actually arrives (verify IMAP `mail.openova.io:993`) AND entering it lands signed-in as the CUSTOMER (their email in the avatar, their Org in the header) with no password field — this is the customer PIN flow, NOT the operator handover.",re-walk the customer PIN flow on hw292 console.uatco.omani.homes (IMAP + browser); the hw291 listener-admission cause is dead
218,e2e-journey,"**chepherd is installable from the catalog as an Application** (`bp-agenity` **Helm chart**). Surface: per-Org console → Catalog → the `bp-agenity` card renders + the install wizard opens with the Org's Environment pre-selected as the target. PASS = card present + wizard opens (the chart resolves from the catalog, not 404).",deploy #5823 pre-select to hw292 then re-walk with a MULTI-instance Blueprint; bp-agenity cannot satisfy the wizard clause once installed
219,e2e-journey,"The user **provisions chepherd** as an Application → it converges (Helm deploys, pods Ready, chepherd console reachable in his Org).",roll catalyst-api past fad88bd (#5647/#5713/#5723/#5732) and clear the ghcr-pull auth cascade (#5759)
220,e2e-journey,chepherd's **solo agent is pre-configured with Claude Opus 4.7** + a working token (the agent is live and chat works).,founder seeds OpenBao catalyst/anthropic/token (#4277); no code change moves this row
221,e2e-journey,"The user **chats with the chepherd solo agent** (""create a `<blueprint>` app in my org"") → the agent calls the openova-mcp `create_application` tool with the user's **Org-scoped** token → a new Application CR is created in the user's Org. PASS = the agent reports the new app name + an Application appears provisioning in the user's `/apps`, with NO operator-console action.",founder seeds the Anthropic credential (#4277); the #5516 half is already fixed in main and only needs the image roll
222,e2e-journey,The agent-created application **converges and appears in the user's Org** (chat-driven app creation works end-to-end).,unblocks strictly downstream of row 221; nothing to change here
223,e2e-journey,"The chepherd agent's actions are **RBAC-scoped to the user's Org** (UI-parity): the openova-mcp `list_applications` returns ONLY this Org's apps (a 2nd Org's are filtered out), a cross-Org `get_application` → **403**, and the agent cannot create/mutate in any other Org — enforced by `openova-mcp/internal/identity` Org-claim, not just the chat prompt.",roll the bp-agenity image past de1cbec54 then call list_applications / cross-Org get_application with the Org bearer; this row does NOT need the Anthropic credential
226,funnel,"The customer's PURCHASED app actually RUNS — every funnel Org's `tenant-<slug>-apps` Kustomization reconciles into a running pod (the app is reachable, not 404).",core/controllers/organization/internal/controller/per_org_flux.go
227,delivery,"A catalog/seed version bump reaches the live **Blueprint CR zero-touch** — bumping a `bp-*` pin in the catalog seed lands on the cluster Blueprint CR with NO manual `kubectl patch` and NO `resource-policy: keep` annotation pinning a stale version. PASS = after a seed bump, `kubectl get blueprint bp-<x> -o jsonpath='{.spec.version}'` matches the seeded version within one reconcile, the seeder owns the field (no `helm.sh/resource-policy: keep`), and the rolled chart renders on the cluster.",walk PRE-cutover on a fresh prov OR trigger the local gitea mirror sync and assert the CR advances without kubectl patch
229,delivery,"**bootstrap-kit Kustomization Ready=True + plane-isolation admits CNPG→kube-apiserver egress** — on the fresh prov `kubectl -n flux-system get kustomization bootstrap-kit` is `Ready=True` (no orphaned `dependsOn` / CRD dry-run rejection), AND the plane-isolation NetworkPolicy permits the CNPG operator's egress to the kube-apiserver so Cluster admission/patch succeeds. PASS = bootstrap-kit `Ready=True`; CNPG operator pod Running; a `Cluster` reconciles (no `context deadline exceeded` / x509 webhook failure caused by blocked apiserver egress).",products/catalyst/bootstrap/clusters
230,delivery,"**`ghcr-pull` reflects into a bare-slug per-Org namespace** — the emberstack reflector copies the `ghcr-pull` imagePullSecret into a per-Org namespace whose name is a bare slug (e.g. `org-<slug>` / a non-UUID form), so private `ghcr.io/openova-io/*` app images pull (no `ImagePullBackOff` 401-anonymous). PASS = a fresh Org's namespace has the reflected `ghcr-pull` secret; a per-Org app pod pulling a private image reaches Running (no 401/ImagePullBackOff).",live:secret/ghcr-pull-reflection
231,delivery,"**bp-postgres singleton render carries the operator-probe NetworkPolicy** — a singleton (non-HA) bp-postgres render still ships the NetworkPolicy that admits the CNPG operator's health/readiness probe, so a singleton Postgres reaches Ready (the probe is not blocked). PASS = a singleton bp-postgres Application reaches `Ready=True`; the operator-probe NetworkPolicy is present in the rendered manifest; the CNPG operator can probe the instance.",platform/postgres/chart
233,apps,"On a fresh funnel Org, **WordPress serves HTTP 200** — the mysql DB pod is Guaranteed-QoS (requests==limits, schedulable under the per-Org LimitRange), the HTTPRoute is present, and the landed host is pool-aligned to the console-ELB EIP. PASS = `curl https://wordpress.<slug>.<pool-tld>/` → 200 (or 302→install then 200), mysql pod QoS=Guaranteed + Running, HTTPRoute parents the console gateway, host resolves to the console-ELB EIP (not the primary ELB).",fix the per-region per-Org listener write (#5511/#5246) so region-B carries *.<org> listeners
235,apps,"On a fresh prov, **grafana SSO logs in 3/3 → 200** — the bp-sso-bridge per-tick credential refresh keeps the grafana OIDC client secret in lockstep with Keycloak, so the SSO round-trip completes. PASS = grafana `/login/generic_oauth` → Keycloak → back signed-in (200, user in the avatar) across 3 consecutive attempts; bp-sso-bridge refreshes the client cred each tick (no stale-secret 401).",platform/sso-bridge + live:grafana OIDC client
236,apps,"On a fresh multi-region prov, **region-B keycloak reaches Ready** — the cross-region shared-pg write host is correct so region-B Keycloak connects to the primary Postgres and completes realm import. PASS = `bp-keycloak` HR `Ready=True` in the region-B cluster; keycloak pod Running; realm import succeeds (no DB-connect / wrong-write-host failure); `keycloak.<host>` → 302 SSO.",platform/keycloak + live:region-b bp-keycloak HelmRelease
R10,orgs,"org-controller RBAC carries update/patch — per-Org provisioning completes (was create-only, never reached Ready).",products/catalyst/chart/templates/controllers/organization-controller-clusterrole.yaml
R11,gitea,gitea git-data is PRESERVED across the host-ns re-home (#4325 de-vcluster) — no empty-PVC data loss.,none — permanently unwalkable like rows 99-107; re-baseline as a design exemption rather than a live block
R12,postgres,shared-pg `-mesh-rw` resolves in BOTH regions + CNPG streaming replication is live.,live:svc/shared-pg-mesh-rw
R13,convergence,region-B keycloak / gitea / harbor reach steady-state with NO CrashLoop.,live:region-b/keycloak+gitea+harbor
R14,model,console Organizations directory reads the live Organization CRs (not an empty in-memory store).,products/catalyst/bootstrap/api/internal/handler/org_list_from_cr.go + products/catalyst/bootstrap/ui/src/pages/sovereign/organizations/OrganizationsDirectoryPage.tsx
R15,funnel,funnel plan-slug propagates end-to-end — the chosen plan reaches the provisioned Org.,core/services/provisioning/handlers/organization_create.go
R16,funnel,the funnel + BSS Org doors are collapsed onto ONE path — `console.<slug>` lands 200.,make the per-Org listener write reconcile into EVERY region (#5246/#5511) and reap the r17probe orphan (#5426)
R17,orgs,deleting an Organization CR cascades cleanly — no orphaned ns / app / DNS leak.,roll catalyst-api past fad88bd so the merged multi-region prefix-matching reaper (407c00e74/10ab5c70b/#5848) actually runs
R18,cutover,handover-key self-publish guard — the Sovereign does not re-publish its handover key on reconcile.,products/catalyst/bootstrap/api/cmd/api/main.go
R19,sandbox,sandbox-controller reaches Running (was CrashLoop on unset CATALYST_GITEA_TOKEN).,none — void row; the clause was never rewritten to the Agenity surface so it should stay a recorded design supersession
R20,delivery,the deploy-bot bumps image pins per-line (not a blanket bump) — stale-render avoided.,.github/workflows
R21,catalog,catalog-seed pins match the published ghcr chart versions — no inert lagging Blueprint CR.,products/catalyst/chart/templates/catalog-seed/blueprints.yaml
R22,plane-isolation,bp-plane-isolation admits apiserver-egress + gateway-ingress CNPs — CNPG admission + gateway hop succeed.,deploy the merged #5813 chart (7adf1640b) so allowedIngressNamespaces emits cnpg-system on the live cluster
