row_id,verdict,artifact_path,artifact_exists,layer_match,surface_path,reason,artifact_shared_with
82,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row82-bcp-ahs-selected.png,yes,yes,core/marketplace/src/pages/bcp.astro,Filename names row+surface; both Pillar-2 radios quoted with real semantics (RTO 30s / RPO 5s) and real region ids; appendix shared verbatim with row 83,
83,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row83-review-summary.png,yes,yes,core/marketplace/src/pages/review.astro,Strongest artifact in the batch — I opened it and all five clause elements are visible at once: WordPress; plan M selected; Active-hot-standby with primary/replica cluster names; org slug + pool TLD; Proceed to Checkout,
84,BACKED,(none cited),n/a,yes,catalyst-system/marketplace-api SMTP path + Secret sovereign-smtp-credentials (#5921),Failure was walked as a write on 2026-08-09 with the decisive control — the console PIN path delivered to the same mailbox 90 min earlier while checkout /auth/magic-link returned 200 and delivered nothing; #5921 still OPEN,
85,UNBACKED,docs/sessions/2026-08-08/hw292-funnel/hw292-funnel-checkout-credited.png,yes,yes,core/marketplace/src/pages/checkout.astro,The artifact CONTRADICTS its own clause: the page renders a PAYMENT METHOD block (ApplePay/Mastercard/VISA) and the text 'On Purchase you will be redirected to Stripe's PCI-compliant checkout' — the walker's no-Stripe probe (iframe[src*=stripe] / cardnumber input / [data-stripe]) structurally cannot fail against a redirect-mode Stripe integration; the Launch click was also never made by the walker's own admission,
86,BACKED,docs/sessions/2026-06-24/sso-funnel-cutover-3374-3376-3379,yes,partial,marketplace-api provisioning-record writer; a fresh funnel run is itself gated behind #5921,"Terminal failed record with progress=100 is write-once so it cannot self-heal and still reads failed; caveat noted not scored — the 2026-08-08 stamp inside this cell measures per-Org app reachability which is row 90's clause, not this row's timeline",
87,BACKED,docs/sessions/2026-06-24/uat-215/walkerC-funnel-87-95.md,yes,partial,products/catalyst/bootstrap/api/internal/handler/org_console_tls.go (no region term) + infra/providers/huawei/main.tf gateway_lb_members,Independently re-measured today: console.uatco.omani.homes 5/10 fresh-TCP (200 when it completes) vs control console.hw292.omani.works 10/10 on the same VIP 212.72.24.85 — exactly the #5246 split the row names,
88,SUPERSEDED-STALE,docs/sessions/2026-06-19/evidence/walk/funnel/88.png,yes,no,products/catalyst/bootstrap/api/internal/handler/org_console_tls.go — plus a browser walk; the row is mutation-gated not blocked,"The ⛔ rests on 'the destination is provably dead — console.uatcorp 0/8' measured on the WIPED hw291; on hw292 the per-Org console answers HTTP 200 on 5 of 10 fresh TCP connections, so the destination is intermittent (#5246) not dead and the blocking condition no longer holds",
89,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row89-perorg-apps-wordpress.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/AppsPage.tsx,Filename names row+surface; discriminating control recorded (only WordPress of 8 cards carries an Open chip) and the click destination was verified from the tab list; NOTE the per-Org console at console.<org>.<domain> is painted by the bootstrap/ui tree (sov-app-open-* testid at AppsPage.tsx:1226) not by core/console,
90,BACKED,docs/sessions/2026-08-04/perregion-and-dns-walks/README.md,yes,yes,products/catalyst/bootstrap/api/internal/handler/org_console_tls.go + infra/providers/huawei/main.tf gateway_lb_members,Re-measured today: wordpress.uatco.omani.homes 5/10 fresh-TCP with 302 to wp-login when it completes; region A Gateway carries console-https-uatco on *.uatco.omani.homes and region B carries none — the #5246 cause confirmed by direct object read in both regions,
91,SUPERSEDED-STALE,(none cited),n/a,no,core/marketplace/src/layouts/Layout.astro returning-user redirect — plus a signed-in-customer walk,"⛔ rests on the hw291 '0/8 dead destination' plus a mutation; hw291 is wiped and the destination is alive on hw292 (per-Org console 5/10 fresh-TCP HTTP 200), so what remains is an unwalked mutation-gated row and not a blocked one — the cell already carries a stale-claim flag nobody acted on",
92,LAYER-MISMATCH,none,n/a,no,core/services/gateway/ratelimit.go,The clause names the SIGNED-IN CUSTOMER re-submitting checkout/redeem until a rate-limit NOTICE appears; the 2026-08-10 proof is 20 unauthenticated concurrent curls at /api/billing/vouchers/redeem-preview returning 5x429 with the ratelimit.go body — that grades the gateway HTTP tier not the redeem.astro notice; 'a single legitimate redeem is unaffected' was never exercised (all non-429 responses were 404),
96,BACKED,(none cited),n/a,yes,catalyst-api image pin on hw292 (source already fixed at products/catalyst/bootstrap/api/internal/handler/auth_handover.go acceptedHandoverIssuers),Checked the tempting re-green and it fails: #5614 is CLOSED and the issuer-set fix is on main (f75d2253f; 919a5745e) but neither is an ancestor of the deployed build — /api/v1/version reports sha=fad88bd built from the 2026-08-02 commit — so the Sovereign still runs the rejecting verifier,
97,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row97-dashboard-treemap-layers.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/Dashboard.tsx,PNG shows the treemap rendered plus the SIZE / COLOR / LAYER 1 (Progress) / LAYER 2 (Kind) comboboxes with +/- controls and the six-state legend; header reads 208 items vs the 204 in the cell - a harmless capture-minute drift,
98,BACKED,(none cited),n/a,yes,docs/ledger/UAT.md row clause (retire or rewrite) — the mgmt/rtz/dmz planes are gone by design,"Re-verified live today on hw292 region A: no mgmt/rtz/dmz namespace among 53 (only vcluster-system), kubectl get vclusters -A returns No resources found while CRD vclusters.vcluster.com IS installed as the vacuity control; noted for the rewrite — two per-Org vcluster StatefulSets DO exist (uatco 6d3h; walk-stranger-two 42h) so the group-by-vCluster capability is testable even though the named mgmt block is dead",
99,BACKED,(none cited),n/a,yes,docs/ledger/UAT.md row clause (retire or rewrite),"Asserts the grafana tile inside a mgmt block that #4325 deliberately voided; re-verified live that no mgmt namespace exists and grafana runs in host ns grafana — unreachable by design and correctly parked, not a product fault",
G5,RE-GREENABLE,products/catalyst/bootstrap/api/internal/handler/janitor.go,yes,yes,stamp the row from the mothership catalyst-api log; no mutation and no deliberate session are required,"The scope half is true (zero janitor CronJobs/Deployments/Jobs on hw292) but the stated UNBLOCK — 'observe a full dry-run cycle on the MOTHERSHIP' held back as needing its own deliberate session — is contradicted by a read-only observation available NOW: mothership catalyst-api logged three complete passes, the latest 2026-08-09T17:54:59Z '[JANITOR] pass complete durationMs 9493 destructive:false reaped:0 reapErrors:0 orphanOBSBucketsDeleted:61' with per-resource would-reap lines, which IS this row's log-only full-cycle clause",R1
G8,BACKED,products/catalyst/bootstrap/api/internal/handler/sovereign_anthropic_seed.go,yes,yes,founder places the Anthropic credential in OpenBao catalyst/anthropic/token (#4277),"Independently re-measured on hw292 today and identical to the stamp: ExternalSecret uatco/agenity-anthropic-token Ready=False SecretSyncedError against an unseeded path, sibling uatco/agenity-mcp-bearer Ready=True on the same ClusterSecretStore as the isolating control, and zero anthropic/claude Secrets anywhere in the cluster",221
R1,RE-GREENABLE,products/catalyst/bootstrap/api/internal/handler/janitor.go,yes,yes,stamp from the mothership janitor pass now that a ready Sovereign is in the registry; the vacuity that blocked it is gone,"The blocker was VACUITY — 'the registry holds ZERO ready Sovereigns because hw291 was wiped and hw292 has not been fired' — and hw292 HAS been fired (dep 1c56518035a83e03, nodes Ready 6d13h); the 2026-08-09T17:54Z mothership pass logs explicit PROTECT decisions naming it (keypair catalyst-hw292-omani-works-1c565180-key and both VPCs 'skipped (active deployment)'; its OBS bucket 'skipped (in-flight deployment or protected)') in the SAME pass that marked 61 other buckets would-reap, which is the discriminating control the row said was missing; the row's second complaint that the protect branch is silent is also contradicted",G5
R3,BACKED,live:netpol openbao/openbao-default-deny + platform/plane-isolation/chart/values.yaml,yes,yes,platform/plane-isolation/chart/values.yaml (allowIngressFrom sso-bridge ~line 131),Best-controlled row in the batch: manifest half confirmed at the cited line (I re-read it; sso-bridge is present in allowIngressFrom) and the runtime half is a completed KV-v2 write to openbao:8200 across two consecutive named-pod ticks; THREE distinguishable outcomes measured — allowed (<1s health JSON from the sso-bridge pod); policy-denied (8s timeout from a powerdns-admin pod that is NOT in the list); closed port (0.7s refusal on 127.0.0.1:9999) — so the check can fail,
R4,BACKED,live:pod sso-bridge-reconciler logs (verbatim in cell) + platform/sso-bridge/chart/templates/networkpolicy.yaml,yes,yes,platform/sso-bridge/chart/templates/networkpolicy.yaml (keycloak port 80+8080 allow),Verbatim producer output with concrete values — named pod; two ticks 16:30:02->16:31:31Z; 'tick: tokens minted (kc + openbao)' covering both named egress legs; per-app 'secret persisted to OpenBao' lines carrying the openbao leg to a completed write; the cited chart lines exist and document the Cilium targetPort trap whose absence (no curl-28) is the discriminator; CAVEAT no explicit negative control and the measurement is dated 2026-08-04,
R5,UNBACKED,live:pod sso-bridge-reconciler logs (predecessor env),no,yes,platform/sso-bridge (reconciler tick) + clusters/_template/bootstrap-kit/25-grafana.yaml,ENV DRIFT — the walk cell stamps hw292 but the evidence opens 'a predecessor env-2026-08-03T20:3x-21:0xZ READ-ONLY WALK' and its residual paragraph names that predecessor env again; the verbatim tick logs are real and concrete (4 consecutive region-A ticks; 3 region-B) but they measure a DIFFERENT Sovereign than the row is stamped against; per each-new-env-flushes-all-evidence this is carried-forward cross-env evidence with no hw292 measurement present; the cell also concedes the post-PIN code->token exchange was never exercised; none of the four labels means WRONG-ENV so UNBACKED is used for 'no evidence for the stamped env',
R6,BACKED,none (inline citation),n/a,yes,platform/postgres/chart,Runtime dial from an undeclared namespace with a negative control on the same host: shared-pg-rw:5432 DIAL-OK-A and shared-pg-b-rw:5432 DIAL-OK-B while shared-pg-rw:9999 is CONTROL-CLOSED-9999 — so the allowlist is genuinely filtering; probe/replica-join consumers proven by 10 CNPG Clusters at healthy with per-cluster replica counts,
R7,UNBACKED,none (inline citation),n/a,partial,platform/plane-isolation/chart,The evidence cell TRUNCATES mid-word at 'DAT' — every datapath number it promises (the org-services 200 in ~1ms and the harbor 8s timeout that make the three-way control) is cut off; its header names 'a predecessor env' (de-named; see commit 1846d0f67) while the Walk cell stamps hw292; and it closes with 'Ready to flip from PARTIAL to green' which reads as a recommendation not a stamp,
R8,BACKED,none (inline citation),n/a,yes,live:gitrepository/flux-system,All five GitRepositories named individually with their secretRef and stored-artifact revision (cutover-gitea-git-auth at main@sha1:7bcd1d59; openova-catalog-sovereign-git-auth at catalog-sovereign@sha1:fdf04502; openova-org-tenants-git-auth at org-tenants@sha1:2075d137 plus the two per-Org repos) all pointing at the local gitea; a stored artifact is only reachable with valid credentials,
R9,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row36-powerdns-admin-bare-url-owner.png,yes,yes,clusters/_template/bootstrap-kit/13c-bp-oidc-gate.yaml:205-209 + platform/powerdns-admin/chart/templates/deployment.yaml,Full OIDC round-trip walked in a real browser not curl — 302 -> keycloak realm with client_id=powerdns-admin -> landed /dashboard/ signed in as the owner with 0 password inputs and Logout present — plus both seeding ends confirmed live (producer log write to secret/data/sso/sovereign/powerdns-admin; consumer ExternalSecret Ready=True) and a cross-secret hash identity control proving one bundle fanned out under two key schemes; artifact verified by FILENAME which names row 36 (same app surface) not R9; CAVEAT the cell still retains a stale 'NOT PROVEN HERE: that the round-trip completes at runtime' sentence from the superseded seeding-only evidence,
100,BACKED,docs/sessions/2026-07-17/hw268-authed-console,yes,yes,docs/ledger/UAT.md row clause (retire or rewrite),Same dead mgmt-vcluster model; harbor runs in host ns harbor and no mgmt/rtz/dmz namespace exists on hw292 today — the ⛔ condition still holds and this family was already wrongly re-flipped ❌ once,
101,BACKED,(none cited),n/a,yes,docs/ledger/UAT.md row clause (retire or rewrite),Same dead mgmt-vcluster model; keycloak runs in host ns keycloak and the live namespace sweep shows no mgmt block to sit inside,
102,BACKED,(none cited),n/a,yes,docs/ledger/UAT.md row clause (retire or rewrite),Same dead mgmt-vcluster model; gitea runs in host ns gitea and the ⛔ basis re-verified live today,
103,BACKED,(none cited),n/a,yes,docs/ledger/UAT.md row clause (retire or rewrite),Same dead mgmt-vcluster model; openbao runs in host ns openbao and the ⛔ basis re-verified live today,
104,BACKED,(none cited),n/a,yes,docs/ledger/UAT.md row clause (retire or rewrite),Same dead mgmt-vcluster model; newapi runs in host ns newapi and the ⛔ basis re-verified live today,
105,BACKED,clusters/_template/bootstrap-kit/,yes,yes,docs/ledger/UAT.md row-105 clause re-spec (#3642),Live hw292 kubectl get ns shows zero mgmt/rtz/dmz namespaces and only vcluster-system; the asserted mgmt-block placement was deliberately voided by #4325 so the clause is unwalkable by design; not a product fault,
106,BACKED,clusters/_template/bootstrap-kit/,yes,yes,docs/ledger/UAT.md row-106 clause re-spec (#3642),Same #4325 de-vcluster re-baseline re-confirmed live; no mgmt block can exist to drill into; the ⛔ condition still holds today,
107,BACKED,clusters/_template/bootstrap-kit/,yes,yes,docs/ledger/UAT.md row-107 clause re-spec (#3642),Row asserts the 7 named apps must NOT be under host; post-#4325 host IS the correct home for all of them; the assertion is inverted by the shipped design and the condition still holds,
108,BACKED,clusters/_template/bootstrap-kit/,yes,yes,docs/ledger/UAT.md row-108 clause re-spec (#3642),Per-app placement correctly reads host post-#4325; keycloak runs in host ns keycloak; the dead mgmt expectation is what the row asserts,
109,BACKED,platform/keycloak/chart,yes,yes,KC account-console token brokering from a catalyst-pin session (#688) or owner adjudication,⛔ is a design-acceptance (KC-native account console cannot mint a REST token from a PIN-brokered session) and is env-independent; flagging only that the walk stamp cites hw227 which is four envs dead,
110,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row110-gitea-signed-in-repos.png,yes,yes,platform/gitea (OIDC client) + live:gitea.hw292,"PNG shows Gitea /explore/repos with the avatar menu present, no login form, and real repos (openova/openova described as the cutover Step-01 mirror, catalog-sovereign/bp-*, uatco/*); the exact repo names differ slightly from the 08-04 narrative because the PNG was captured 08-06",
111,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row111-harbor-signed-in-projects.png,yes,yes,platform/harbor (OIDC client) + live:registry.hw292,"PNG shows /harbor/projects signed in as emrah.baysal@openova.io with Projects 1/9/10, Repositories 117/167/284, quota 31.55GiB, NEW PROJECT + Administration nav; no login form and no gateway error - every number in the cell is visible",
112,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row112-grafana-signed-in-home.png,yes,yes,platform/grafana (Generic OAuth) + live:grafana.hw292,PNG shows the Grafana Home dashboard 'Welcome to Grafana' with the user avatar and no login form; the isGrafanaAdmin/authLabels identity half comes from the narrated /api/user read,
113,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row113-openbao-secrets-engines-no-prompt.png,yes,yes,platform/openbao (OIDC auth) + live:openbao.hw292,"PNG shows /ui/vault/secrets 'Secrets Engines' with cubbyhole/ and secret/ mounts and no token or unseal prompt; CAVEAT the cell itself records - the OIDC session was pre-established and a fresh handshake was deliberately not exercised, so 'via OIDC' rests on the narrated session policies",
114,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row114-newapi-signed-in-token-mgmt.png,yes,yes,products/... newapi chart (OAuth) + live:newapi.hw292,"PNG shows /console/token Token Management signed in as sovereign_2 with the full ADMIN sidebar (Channel/Subscription/Model/User Management, System); no login form and no upstream-connect error",
115,BACKED,platform/guacamole/chart,yes,yes,guacamole_connection seeding + unblock the bp-cilium HelmChart ghcr-pull auth failure,Live hw292 bp-guacamole HR desired 0.2.37 applied 0.2.33 Ready=False held by bp-cilium; the connections-list clause is unsatisfied and the 0.2.36 crossRegion fix is still not applied,
116,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row116-orgs-directory.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/organizations/OrganizationsDirectoryPage.tsx,Opened it: H1 reads Organizations and no Tenants/SME string appears anywhere in frame; authed owner walk with the PIN chain described step by step,
117,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row117-orgs-table-headers.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/organizations/OrganizationsDirectoryPage.tsx,Opened it: KIND/TIER/BILLING/ISOLATION/STATUS are legible but the crop cuts off the first 'Organization' header and the whole org-name column — the two elements the rename clause actually turns on; the prose stamp carries them and the row-116 capture corroborates,
118,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row118-sidebar-organizations.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/SovereignSidebar.tsx,Filename names row+surface; independently corroborated by row 116's capture which I opened and where the left-nav entry reads Organizations,
119,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row119-create-organization-form.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/org/CreateOrganizationPage.tsx,Filename names row+surface; every field label quoted verbatim plus a case-insensitive tenant/SME scan returning 0; read-only (form rendered not submitted) and the cell says so,
120,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row120-org-detail-uatco.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/organizations/OrganizationDetailPage.tsx,Filename names row+surface; walked on a real customer Org with all six field labels enumerated with their values and both a text regex and a data-testid regex scan returning 0,
121,BACKED,core/services/tenant/,yes,yes,rename the org-services tenant microservice or add a console display-name alias,kubectl -n org-services get deploy still shows deployment.apps/tenant among the 12 services and core/services/tenant/ is still on main; the banned term reaches the console from a runtime object NAME so the ⚠️ half is real,
122,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row122-bss-tenants-redirect.png,yes,yes,products/catalyst/bootstrap/ui/src/app/router.tsx,"Filename names row+surface; I confirmed the alias in source at router.tsx:1868 ({ path: '/bss/tenants', to: '/organizations' }) so the live redirect and the code agree",
123,SUPERSEDED-STALE,products/catalyst/bootstrap/api/internal/handler/auth_handover.go,yes,yes,roll catalyst-api to an image built from a commit >= 3eed58270,The ⛔ says 're-walkable the moment #5614 lands' and #5614 HAS landed — the hardcoded expectedIss literal is gone from main (a6fa81416 then 3eed58270 accept an issuer SET); deployed catalyst-api is fad88bdb9 (2026-08-02) which predates both; the row is deploy-gated not blocked,178
124,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row124-catalog-grid.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/CatalogPage.tsx,Screenshot shows the sovereign catalog grid with 93 tiles each carrying an icon and summary and the Alloy tile present; prose claims the Alloy tile icon is alloy.svg but the rendered glyph is cilium.svg - the clause only requires an icon so it still holds,
125,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row125-alloy-detail-hero.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/CatalogDetail.tsx,Screenshot shows /catalog/bp-alloy rendering hero (icon + name + Edit IaC + summary) plus About and an Instance row bp-alloy/Flux-System/Ready with no login page,131
126,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row126-alloy-inline-edit-open.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/CatalogInlineField.tsx,Screenshot shows the SUMMARY editor with textarea + Cancel/Save dropped in place under the hero with no modal chrome or overlay backdrop,152
127,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row127-alloy-summary-saved.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/CatalogInlineField.tsx,Screenshot shows the hero summary re-rendered as RECONCILE-PROOF-20260806T141458 with a Saved to IaC checkmark badge and the editor closed,142
128,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row128-catalog-grid-summary-propagated.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/CatalogPage.tsx,Full-page grid capture shows the Alloy card body reading RECONCILE-PROOF-20260806T141458 so the edit reached the card and not only the detail page,153
129,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row129-alloy-detail-reload-persisted.png,yes,yes,products/catalyst/bootstrap/api/internal/handler/catalog_iac_edit.go,Post-reload capture (Saved-to-IaC badge gone) still shows the marker in the hero summary; the named GET /api/v1/catalog/bp-alloy/iac output is prose but the UI clause is met by the image,139 155
130,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row130-alloy-editiac-version-field.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/CatalogDetail.tsx,Screenshot shows the v1.0.2 version chip in the hero and Edit IaC open on the whole CR; the literal version line sits below the visible scroll but the row145 diff in the same set shows spec.version present,144
131,UNBACKED,docs/sessions/2026-08-06/hw292-screenshots/row131-alloy-icon-baseline.png,yes,yes,products/catalyst/bootstrap/ui/src/shared/lib/resolveCatalogIcon.ts,Artifact CONTRADICTS the clause; rendering both vendored assets shows alloy.svg is an orange swirl while the hero in this shot is the cilium.svg hexagon cluster - the baseline shot was taken after the icon edit so no pre-edit Alloy-glyph baseline exists,125
132,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row132-alloy-icon-saved-toast.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/CatalogInlineField.tsx,Screenshot shows the Saved to IaC checkmark badge beside the hero icon with the editor closed which is exactly what the clause asserts,133
133,UNBACKED,docs/sessions/2026-08-06/hw292-screenshots/row133-alloy-hero-new-logo.png,yes,yes,products/catalyst/bootstrap/ui/src/shared/lib/resolveCatalogIcon.ts,Hero glyph is pixel-equivalent to the row131 baseline shot so no logo change is visible; worse the Light-theme thumbnail in this very shot renders BROKEN (alt text Alloy light) so the pasted iconLight did not resolve,132
134,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row134-catalog-grid-icon-propagated.png,yes,yes,products/catalyst/bootstrap/ui/src/shared/lib/resolveCatalogIcon.ts,Grid tile renders cilium.svg while platform/alloy/blueprint.yaml carries no iconLight/iconDark and the bundled fallback is alloy.svg - so the tile provably resolves an edited IaC icon; caveat the pre-edit row124 grid shows the same glyph so the artifact cannot show a change,
135,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row135-alloy-detail-icon-reload-persisted.png,yes,yes,products/catalyst/bootstrap/ui/src/shared/lib/resolveCatalogIcon.ts,Post-reload hero renders cilium.svg which is not the bundled alloy.svg fallback so the render reads persisted IaC on load; caveat the Light-theme thumbnail is broken in the same shot,
136,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row136-alloy-icon-edit-shows-current.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/IconPicker.tsx,Screenshot shows both fields pre-filled with current IaC values (light = a raw.githubusercontent URL labelled custom image; dark = /component-logos/cilium.svg) rather than bundled fallbacks; note the prose describes light/dark inverted versus the image,137
137,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row137-alloy-icon-picker-grid.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/IconPicker.tsx,Screenshot shows the inline light and dark picker grids each rendering ~21 visible vendored component-logos thumbnails (alloy; cert-manager; cilium; cnpg; crossplane; debezium; envoy; falco; flux; gitea; grafana; harbor; keda ...) with no modal chrome,136
138,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row138-alloy-icon-picker-cilium-selected.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/IconPicker.tsx,Screenshot shows the cilium tile ring-selected in the grid with the url field reading /component-logos/cilium.svg and the live preview swatch rendering the Cilium hexagons labelled Cilium,
139,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row139-alloy-hero-cilium-logo-reload.png,yes,yes,products/catalyst/bootstrap/ui/src/shared/lib/resolveCatalogIcon.ts,Post-reload hero renders the Cilium hexagon glyph which is the picker selection and is provably not the bundled alloy.svg swirl; the same file is reused as the row131 baseline so it cannot show before/after ordering,129 155
141,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row141-alloy-summary-hover-pencil.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/CatalogInlineField.tsx,Screenshot shows the hero summary boxed with a pencil affordance rendered ON the field itself and no form or modal opened,
142,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row142-alloy-summary-click-type-save.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/CatalogInlineField.tsx,Screenshot shows only the summary changed to the proof string with the name still Alloy and the icon untouched and no modal present,127
143,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row143-alloy-name-inline-edit-open.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/CatalogInlineField.tsx,Screenshot shows the DISPLAY NAME inline editor pre-filled with Alloy plus Cancel/Save opened in place inside the hero; the post-save Alloy Collector state is prose only,
144,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row144-alloy-editiac-full-cr.png,yes,yes,products/catalyst/bootstrap/ui/src/widgets/cloud-list/YamlEditor.tsx,Screenshot shows the Edit IaC - full blueprint panel with the whole CR from apiVersion/kind/metadata/annotations/labels through spec.card plus Validate and Commit IaC buttons - not a 7-field overlay,130
145,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row145-alloy-yaml-editor-committed.png,yes,yes,products/catalyst/bootstrap/ui/src/widgets/cloud-list/YamlEditor.tsx,Screenshot shows a genuine Current|Proposed side-by-side with one highlighted Proposed-only line and the confirmation Committed to IaC checkmark (catalog-sovereign/bp-alloy/blueprint.yaml); note the committed change is a trailing comment not the spec.version bump the prose describes,154
146,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row146-alloy-editor-subtitle-text.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/CatalogDetail.tsx,Screenshot renders the subtitle verbatim and the same string is at CatalogDetail.tsx lines 642-644 so the clause is backed at both the UI and the source,157
147,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row147-wordpress-summary-edit-persisted.png,yes,yes,products/catalyst/bootstrap/api/internal/handler/catalog_iac_edit.go,Screenshot of /catalog/bp-wordpress shows the hero summary carrying the proof marker WP-1785997097484 after reload; marker string differs from the prose (WP-PROOF-20260803T1406Z) because the shot is from the later re-walk,
148,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row148-wordpress-manifests-committed.png,yes,yes,products/catalyst/bootstrap/ui/src/widgets/cloud-list/YamlEditor.tsx,Screenshot shows the SAME YamlEditor loaded with WordPress's structurally different 119-line CR (active-passive; switchover; bp-continuum) and Committed to IaC checkmark (catalog-sovereign/bp-wordpress/blueprint.yaml); caveat the visible committed line 119 is a trailing comment not a spec.manifests edit and the path is bp-wordpress not bp-wordpress-tenant,
149,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row149-wordpress-icon-hero-changed.png,yes,yes,products/catalyst/bootstrap/ui/src/shared/lib/resolveCatalogIcon.ts,Genuine before/after inside the same evidence set - row147 shows the W letter-mark hero and row149 shows a vendored logo glyph in its place; the rendered asset is the Gitea mug not the grafana.svg the prose names,
150,UNBACKED,docs/sessions/2026-08-06/hw292-screenshots/row150-postgres-editiac-contextschema.png,yes,yes,products/catalyst/bootstrap/ui/src/widgets/cloud-list/YamlEditor.tsx,The discriminating half of the clause is absent from the artifact - the editor is scrolled to topology lines 117-135 and contextSchema (kind db; needs; produces; valuesKey) appears nowhere in the image; only the generic edit surface is shown,158
151,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row151-postgres-identical-edit-chrome.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/CatalogDetail.tsx,Postgres shot shows the same chrome as the Alloy shot in the same set (hero + Edit IaC + Logos + About + Instances + version chip); caveat the cif-*-edit pencils are hover-only so the identical-testid-set comparison itself is prose,13 50
152,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row152-alloy-inline-edit-headline1.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/CatalogDetail.tsx,Screenshot shows hero + About + Instance sections with the summary editor open INLINE under the hero and no modal or overlay chrome - headline 1 as stated,126
153,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row153-alloy-summary-propagation-headline2.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/CatalogPage.tsx,Grid capture shows the Alloy card carrying the proof marker; the page-update-in-place and reload-persistence halves are carried by the row127 and row129 artifacts in the same set rather than by this image,128
154,UNBACKED,docs/sessions/2026-08-06/hw292-screenshots/row154-alloy-version-field-editable-headline3.png,yes,yes,products/catalyst/bootstrap/ui/src/widgets/cloud-list/YamlEditor.tsx,The named field is not what the artifact shows - the diff renders version 1.0.2 IDENTICAL in both Current and Proposed panes and the only committed change is a trailing comment; the claimed v1.0.3 hero chip appears in no screenshot,145
